card_id,card_type,compromise_type
10011270,credit,fraud
10013300,credit,fraud
10010975,credit,fraud
10011975,credit,fraud
49890069,debit,fraud
64506029,debit,fraud
19446026,debit,fraud
41829018,debit,fraud
91657185,debit,fraud
29930072,debit,fraud
40031012,debit,fraud
48514013,debit,fraud
74747077,debit,fraud
11681021,debit,fraud
85925019,debit,fraud
26673070,debit,fraud
41829018,debit,fraud
34245014,debit,fraud
47110082,debit,fraud
69797087,debit,fraud
77888058,debit,fraud
01432056,debit,fraud
27779047,debit,fraud
71367133,debit,fraud
36112041,debit,fraud
88910018,debit,fraud
47534095,debit,fraud
11038091,debit,fraud
49808082,debit,fraud
81381074,debit,fraud
64051013,debit,fraud
86751015,debit,fraud
55994078,debit,fraud
32068012,debit,fraud
17611051,debit,fraud
75545020,debit,fraud
98702013,debit,fraud
32052098,debit,fraud
89106084,debit,fraud
30384087,debit,fraud
86580046,debit,fraud
40654133,debit,fraud
55191053,debit,fraud
32518042,debit,fraud
99830113,debit,fraud
68749091,debit,fraud
64508017,debit,fraud
61607026,debit,fraud
93768020,debit,fraud
24926014,debit,fraud
54797114,debit,fraud
21723048,debit,fraud
81329101,debit,fraud
50200017,debit,fraud
22695069,debit,fraud
59092028,debit,fraud
66469020,debit,fraud
50611103,debit,fraud
22891034,debit,fraud
49385094,debit,fraud
61509079,debit,fraud
48927020,debit,fraud
14130017,debit,fraud
32642017,debit,fraud
66404079,debit,fraud
80809107,debit,fraud
85342051,debit,fraud
32116057,debit,fraud
79141027,debit,fraud
80660027,debit,fraud
20733047,debit,fraud
92783066,debit,fraud
55115039,debit,fraud
28463057,debit,fraud
66590027,debit,fraud
64138047,debit,fraud
35333025,debit,fraud
09896033,debit,fraud
86145057,debit,fraud
41363089,debit,fraud
42888029,debit,fraud
37308026,debit,fraud
37902017,debit,fraud
51779060,debit,fraud
59656133,debit,fraud
64141070,debit,fraud
66465028,debit,fraud
02111070,debit,fraud
45618035,debit,fraud
84694033,debit,fraud
83409029,debit,fraud
11608077,debit,fraud
22052079,debit,fraud
05453036,debit,fraud
51012067,debit,fraud
11845049,debit,fraud
60868072,debit,fraud
30644067,debit,fraud
13970019,debit,fraud
50257076,debit,fraud
56147032,debit,fraud
41058028,debit,fraud
79445079,debit,fraud
41829018,debit,fraud
89931057,debit,fraud
49019059,debit,fraud
86738044,debit,fraud
33824030,debit,fraud
84312058,debit,fraud
29668032,debit,fraud
97917038,debit,fraud
16478095,debit,fraud
06553040,debit,fraud
72072024,debit,fraud
91538040,debit,fraud
88896074,debit,fraud
11498110,debit,fraud
32088080,debit,fraud
82216025,debit,fraud
18950015,debit,fraud
42305030,debit,fraud
84518137,debit,fraud
04781024,debit,fraud
03295029,debit,fraud
24525067,debit,fraud
