"_raw","_time","attributes.logging.googleapis.com/timestamp","data.insertId","data.labels.execution_id","data.logName","data.protoPayload.@type","data.protoPayload.authenticationInfo.principalEmail","data.protoPayload.authorizationInfo{}.granted","data.protoPayload.authorizationInfo{}.permission","data.protoPayload.authorizationInfo{}.resource","data.protoPayload.methodName","data.protoPayload.numResponseItems","data.protoPayload.request.@type","data.protoPayload.request.parent","data.protoPayload.requestMetadata.callerIp","data.protoPayload.requestMetadata.callerSuppliedUserAgent","data.protoPayload.requestMetadata.requestAttributes.time","data.protoPayload.resourceLocation.currentLocations{}","data.protoPayload.resourceName","data.protoPayload.serviceName","data.receiveTimestamp","data.resource.labels.function_name","data.resource.labels.project_id","data.resource.labels.region","data.resource.type","data.severity","data.textPayload","data.timestamp","data.trace","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,"publish_time",punct,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-205c90ac-ab29-419a-9c6f-ccb93a8795f2"", ""labels"": {""execution_id"": ""6pviyqz1b691""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""severity"": ""DEBUG"", ""textPayload"": ""Function execution took 1021 ms, finished with status: 'ok'"", ""timestamp"": ""2021-12-22T08:00:15.076808052Z"", ""trace"": ""projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:15.076808052Z""}}","2021-12-22T08:00:15.076+0000","2021-12-22T08:00:15.076808052Z","000000-205c90ac-ab29-419a-9c6f-ccb93a8795f2",6pviyqz1b691,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",DEBUG,"Function execution took 1021 ms, finished with status: 'ok'","2021-12-22T08:00:15.076808052Z","projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd",8,22,0,december,15,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,579,550
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-57201706-cef9-44dd-98f9-9014a0bd3c84"", ""labels"": {""execution_id"": ""6pviyqz1b691""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""textPayload"": ""Object size: 564796"", ""timestamp"": ""2021-12-22T08:00:14.226Z"", ""trace"": ""projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:14.226Z""}}","2021-12-22T08:00:14.226+0000","2021-12-22T08:00:14.226Z","000000-57201706-cef9-44dd-98f9-9014a0bd3c84",6pviyqz1b691,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",,"Object size: 564796","2021-12-22T08:00:14.226Z","projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd",8,22,0,december,14,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,512,489
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-aa95c76c-5f1e-4cd7-adf5-df019bd490d7"", ""labels"": {""execution_id"": ""6pviyqz1b691""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""textPayload"": ""Processing file: example-assets1640160003.8608885."", ""timestamp"": ""2021-12-22T08:00:14.06Z"", ""trace"": ""projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:14.06Z""}}","2021-12-22T08:00:14.060+0000","2021-12-22T08:00:14.06Z","000000-aa95c76c-5f1e-4cd7-adf5-df019bd490d7",6pviyqz1b691,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",,"Processing file: example-assets1640160003.8608885.","2021-12-22T08:00:14.06Z","projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd",8,22,0,december,14,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,542,520
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-5d272c89-fae7-457c-87c2-4b2a5a7a56fa"", ""labels"": {""execution_id"": ""6pviyqz1b691""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""severity"": ""DEBUG"", ""textPayload"": ""Function execution started"", ""timestamp"": ""2021-12-22T08:00:14.057192846Z"", ""trace"": ""projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:14.057192846Z""}}","2021-12-22T08:00:14.057+0000","2021-12-22T08:00:14.057192846Z","000000-5d272c89-fae7-457c-87c2-4b2a5a7a56fa",6pviyqz1b691,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",DEBUG,"Function execution started","2021-12-22T08:00:14.057192846Z","projects/adept-lodge-251409/traces/7ad610abb6c12b0a37648e5238cad2dd",8,22,0,december,14,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,546,517
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-1c731325-8e62-4ac1-82dc-ea4ef0f921e7"", ""labels"": {""execution_id"": ""6pvidywzk082""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""severity"": ""DEBUG"", ""textPayload"": ""Function execution took 2781 ms, finished with status: 'ok'"", ""timestamp"": ""2021-12-22T08:00:08.806514554Z"", ""trace"": ""projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:08.806514554Z""}}","2021-12-22T08:00:08.806+0000","2021-12-22T08:00:08.806514554Z","000000-1c731325-8e62-4ac1-82dc-ea4ef0f921e7",6pvidywzk082,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",DEBUG,"Function execution took 2781 ms, finished with status: 'ok'","2021-12-22T08:00:08.806514554Z","projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89",8,22,0,december,8,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,579,550
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-9b3e14cc-3d41-42c2-b6d7-6f5f7b5c9847"", ""labels"": {""execution_id"": ""6pvidywzk082""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""textPayload"": ""Info: Nothing sent to Splunk yet - the file in GCS has not completed upload. Will re-execute on full write"", ""timestamp"": ""2021-12-22T08:00:08.804Z"", ""trace"": ""projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:08.804Z""}}","2021-12-22T08:00:08.804+0000","2021-12-22T08:00:08.804Z","000000-9b3e14cc-3d41-42c2-b6d7-6f5f7b5c9847",6pvidywzk082,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",,"Info: Nothing sent to Splunk yet - the file in GCS has not completed upload. Will re-execute on full write","2021-12-22T08:00:08.804Z","projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89",8,22,0,december,8,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,599,576
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-5dea5a14-58e0-4b88-924f-563dfa726170"", ""labels"": {""execution_id"": ""6pvidywzk082""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""textPayload"": ""Processing file: example-assets1640160003.8608885."", ""timestamp"": ""2021-12-22T08:00:08.582Z"", ""trace"": ""projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:08.582Z""}}","2021-12-22T08:00:08.582+0000","2021-12-22T08:00:08.582Z","000000-5dea5a14-58e0-4b88-924f-563dfa726170",6pvidywzk082,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",,"Processing file: example-assets1640160003.8608885.","2021-12-22T08:00:08.582Z","projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89",8,22,0,december,8,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,543,520
"{""publish_time"": 1640160022.305, ""data"": {""insertId"": ""000000-0c7db2e3-6d35-4f44-8858-d669199b3a05"", ""labels"": {""execution_id"": ""6pvidywzk082""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:16.133263069Z"", ""resource"": {""labels"": {""function_name"": ""AssetITE3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""severity"": ""DEBUG"", ""textPayload"": ""Function execution started"", ""timestamp"": ""2021-12-22T08:00:06.027789112Z"", ""trace"": ""projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:06.027789112Z""}}","2021-12-22T08:00:06.027+0000","2021-12-22T08:00:06.027789112Z","000000-0c7db2e3-6d35-4f44-8858-d669199b3a05",6pvidywzk082,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:16.133263069Z",AssetITE3,"adept-lodge-251409","us-central1","cloud_function",DEBUG,"Function execution started","2021-12-22T08:00:06.027789112Z","projects/adept-lodge-251409/traces/76c02b8977dbf2aec69809231b880c89",8,22,0,december,6,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160022.305","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,546,517
"{""publish_time"": 1640160017.752, ""data"": {""insertId"": ""000000-d7970c8a-cfa4-4113-9dd0-48d93762a883"", ""labels"": {""execution_id"": ""xxzgdtjp86qi""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:12.934842068Z"", ""resource"": {""labels"": {""function_name"": ""Asset-function-3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""severity"": ""DEBUG"", ""textPayload"": ""Function execution took 2282 ms, finished with status: 'ok'"", ""timestamp"": ""2021-12-22T08:00:04.663865647Z"", ""trace"": ""projects/adept-lodge-251409/traces/888e0892b3f76e3e88f797c7fc52db14""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:04.663865647Z""}}","2021-12-22T08:00:04.663+0000","2021-12-22T08:00:04.663865647Z","000000-d7970c8a-cfa4-4113-9dd0-48d93762a883",xxzgdtjp86qi,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:12.934842068Z","Asset-function-3","adept-lodge-251409","us-central1","cloud_function",DEBUG,"Function execution took 2282 ms, finished with status: 'ok'","2021-12-22T08:00:04.663865647Z","projects/adept-lodge-251409/traces/888e0892b3f76e3e88f797c7fc52db14",8,22,0,december,4,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160017.752","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,586,557
"{""publish_time"": 1640160017.752, ""data"": {""insertId"": ""000000-e398c563-84b7-4cdc-8717-077794d4752d"", ""labels"": {""execution_id"": ""xxzgdtjp86qi""}, ""logName"": ""projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions"", ""receiveTimestamp"": ""2021-12-22T08:00:12.934842068Z"", ""resource"": {""labels"": {""function_name"": ""Asset-function-3"", ""project_id"": ""adept-lodge-251409"", ""region"": ""us-central1""}, ""type"": ""cloud_function""}, ""severity"": ""DEBUG"", ""textPayload"": ""Function execution started"", ""timestamp"": ""2021-12-22T08:00:02.384732904Z"", ""trace"": ""projects/adept-lodge-251409/traces/888e0892b3f76e3e88f797c7fc52db14""}, ""attributes"": {""logging.googleapis.com/timestamp"": ""2021-12-22T08:00:02.384732904Z""}}","2021-12-22T08:00:02.384+0000","2021-12-22T08:00:02.384732904Z","000000-e398c563-84b7-4cdc-8717-077794d4752d",xxzgdtjp86qi,"projects/adept-lodge-251409/logs/cloudfunctions.googleapis.com%2Fcloud-functions",,,,,,,,,,,,,,,,"2021-12-22T08:00:12.934842068Z","Asset-function-3","adept-lodge-251409","us-central1","cloud_function",DEBUG,"Function execution started","2021-12-22T08:00:02.384732904Z","projects/adept-lodge-251409/traces/888e0892b3f76e3e88f797c7fc52db14",8,22,0,december,2,wednesday,2021,local,,"$decideOnStartup","gcp_events",1,"1640160017.752","{"""":_.,_"""":_{"""":_""-----"",_"""":_{"""":_""""},_"""":_""/--//","projects/adept-lodge-251409/subscriptions/splunksubscription","google:gcp:pubsub:message","ip-172-31-43-68.eu-west-1.compute.internal",,,,553,524
